It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
 0  +0.000e+00  -1.064e+05  +1e+02  1e+00  1e+00  1e+00  1e+00    ---    ---    0  0  - |  -  - 
 1  +6.490e+02  -1.058e+05  +4e+01  1e+00  1e+00  3e+00  3e-01  0.7833  1e-01   1  1  1 |  0  1
 2  -1.283e+05  -2.347e+05  +1e+01  1e+00  1e+00  1e+01  8e-02  0.7833  9e-02   1  1  1 |  2  1
 3  -2.381e+05  -3.445e+05  +7e+00  1e+00  1e+00  2e+01  6e-02  0.9791  7e-01   1  1  1 |  9  0
 4  -4.182e+05  -5.245e+05  +3e+00  1e+00  1e+00  4e+01  2e-02  0.6266  6e-02   1  1  1 |  2  2
 5  -5.621e+05  -6.683e+05  +1e+00  1e+00  1e+00  8e+01  1e-02  0.7833  3e-01   1  1  1 |  5  1
 6  -5.292e+05  -6.354e+05  +8e-01  1e+00  1e+00  1e+02  6e-03  0.9791  7e-01   1  1  1 |  9  0
 7  -7.272e+05  -8.330e+05  +3e-01  1e+00  1e+00  3e+02  3e-03  0.6266  1e-01   1  1  1 |  3  2
 8  -8.946e+05  -9.997e+05  +1e-01  1e+00  1e+00  6e+02  1e-03  0.7833  3e-01   1  1  1 |  5  1
 9  -9.857e+05  -1.090e+06  +7e-02  1e+00  1e+00  1e+03  6e-04  0.9791  5e-01   1  1  1 |  7  0
10  -1.241e+06  -1.343e+06  +3e-02  1e+00  1e+00  2e+03  3e-04  0.6266  1e-01   1  1  1 |  3  2
11  -1.122e+06  -1.223e+06  +3e-02  1e+00  1e+00  2e+03  2e-04  0.9791  9e-01   1  1  1 | 13  0
12  -1.424e+06  -1.517e+06  +1e-02  9e-01  9e-01  5e+03  9e-05  0.6266  6e-02   1  1  1 |  2  2
13  -1.582e+06  -1.666e+06  +6e-03  9e-01  9e-01  8e+03  5e-05  0.6266  3e-01   1  1  1 |  4  2
14  -1.468e+06  -1.544e+06  +3e-03  8e-01  8e-01  9e+03  3e-05  0.9791  6e-01   1  1  1 |  8  0
15  -1.431e+06  -1.486e+06  +1e-03  6e-01  6e-01  1e+04  1e-05  0.6266  9e-02   1  1  1 |  2  2
16  -1.132e+06  -1.173e+06  +7e-04  5e-01  5e-01  1e+04  6e-06  0.9791  5e-01   1  1  1 |  7  0
17  -8.202e+05  -8.444e+05  +3e-04  3e-01  3e-01  1e+04  2e-06  0.6266  1e-01   1  1  1 |  3  2
18  -4.865e+05  -4.989e+05  +1e-04  2e-01  2e-01  7e+03  1e-06  0.9791  4e-01   1  1  1 |  6  0
19  -3.055e+05  -3.124e+05  +6e-05  1e-01  1e-01  5e+03  5e-07  0.6266  2e-01   1  1  1 |  4  2
20  -2.313e+05  -2.362e+05  +4e-05  8e-02  8e-02  4e+03  4e-07  0.9791  7e-01   1  1  1 | 10  0
21  -1.135e+05  -1.155e+05  +2e-05  4e-02  4e-02  2e+03  1e-07  0.6266  5e-02   1  1  1 |  2  2
22  -6.399e+04  -6.506e+04  +8e-06  2e-02  2e-02  1e+03  7e-08  0.6266  2e-01   1  1  1 |  4  2
23  -4.983e+04  -5.064e+04  +6e-06  2e-02  2e-02  1e+03  5e-08  0.9791  8e-01   1  1  1 | 11  0
24  -2.280e+04  -2.314e+04  +2e-06  7e-03  7e-03  4e+02  2e-08  0.6266  5e-02   1  1  1 |  2  2
25  -1.259e+04  -1.276e+04  +1e-06  4e-03  4e-03  2e+02  1e-08  0.6266  2e-01   1  1  1 |  4  2
26  -7.100e+03  -7.192e+03  +6e-07  2e-03  2e-03  1e+02  5e-09  0.9791  5e-01   1  0  0 |  7  0
27  -3.494e+03  -3.532e+03  +2e-07  8e-04  8e-04  5e+01  2e-09  0.6266  5e-02   1  0  0 |  2  2
28  -2.460e+03  -2.483e+03  +1e-07  5e-04  5e-04  3e+01  1e-09  0.9791  6e-01   1  0  0 |  8  0
29  -1.390e+03  -1.399e+03  +5e-08  2e-04  2e-04  1e+01  4e-10  0.6266  9e-03   1  0  0 |  1  2
30  -9.434e+02  -9.471e+02  +2e-08  8e-05  8e-05  5e+00  2e-10  0.6266  5e-02   1  0  0 |  2  2
31  -6.946e+02  -6.958e+02  +6e-09  2e-05  2e-05  1e+00  5e-11  0.7833  1e-01   1  0  0 |  3  1
32  -5.725e+02  -5.728e+02  +1e-09  6e-06  6e-06  3e-01  1e-11  0.9791  2e-01   2  0  0 |  4  0
33  -5.361e+02  -5.363e+02  +5e-10  3e-06  3e-06  1e-01  5e-12  0.6266  1e-01   1  0  0 |  3  2
